protocol_name,date_of_attack,amount_lost,attack_type
Centra,04/02/2018,25000000,ICO Scam
YFDash Finance,12/02/2020,65611,Fraud Rug Pull
Chad Token,08/03/2021,,Fraud Rug Pull
Soft Yearn Finance,09/03/2020,250000,Rebase Error
Rise Protocol,11/03/2021,543452,Fraud Rug Pull
Ape Inn,05/04/2021,12000,Fraud Rug Pull
UniCats,10/04/2020,230000,Fraud Rug Pull
Matcha,10/04/2021,250000,Unable to Sell
Qubes,10/04/2021,1757250,Unable to Sell
YearnSpace,12/04/2020,0,Fraud Rug Pull
FairElon,04/05/2021,8000,Unable to Sell
keep3rX,11/05/2020,13280,Fraud Rug Pull
Kong Coin,04/06/2021,9963,Unable to Sell
Burn Vault Finance,10/06/2020,1396,Fraud Rug Pull
Padthai Finance,10/06/2020,30000,Fraud Rug Pull
YFFC Finance,11/06/2020,29700,Fraud Rug Pull
Unirocket,10/08/2020,9100,Fraud Rug Pull
Contribute.Protocol,01/09/2021,6000,Fraud Rug Pull
Emerald Mine,09/09/2020,2500000,Fraud Rug Pull
YFDEX Finance,11/09/2020,20000000,Fraud Rug Pull
Generate,03/10/2021,,Fraud Rug Pull
FLiK,05/10/2019,1300000,ICO Scam
CBDAO,11/10/2020,90000,Fraud Rug Pull
Defibase,12/11/2020,382800,Fraud Rug Pull
YFFS Finance,12/11/2020,1000000,ICO Scam
Shabuvault,12/11/2020,5500,Fraud Rug Pull
Nifity.io,01/13/2021,194000,Fraud Rug Pull
Boon Tech,08/13/2020,5000000,ICO Scam
BlockVest,02/14/2019,2500000,ICO Scam
SakuraDeFi,02/14/2021,,Fraud Rug Pull
MOOswap.org,10/14/2020,50000,Fraud Rug Pull
DeTrade,12/14/2020,1000000,Fraud Rug Pull
Reflation,12/14/2020,126850,Fraud Rug Pull
Minivault,11/15/2020,20000,Fraud Rug Pull
pills.forsale,01/16/2021,800000,Fraud Rug Pull
Fomo3d,08/16/2018,4000000,Smart Contract Exploit
Sav3r,11/16/2020,23460,Fraud Rug Pull
Walletreum,11/16/2020,163000,Fraud Rug Pull
Blockchain Terminal Token,01/17/2021,30000000,ICO Scam
YearnML,01/18/2021,75000,Fraud Rug Pull
ShareDeFi Protocol,03/18/2021,,Fraud Rug Pull
MTI Finance,11/18/2020,66000,Fraud Rug Pull
GasPay,02/19/2021,203063,Fraud Rug Pull
Xfinance,10/19/2020,1050000,Fraud Rug Pull
K3psav,11/19/2020,16636,Fraud Rug Pull
Authmen Token,12/19/2020,12000,Fraud Rug Pull
fairmoon,05/19/21,157500,
DarkDeFi,02/20/2021,65000,Unable to Sell
Shiba Poodle,03/20/2021,,Fraud Rug Pull
iProtocol,12/20/2020,42880,Fraud Rug Pull
Solid Protocol,12/20/2020,150000,Fraud Rug Pull
EasyFi,04/20/21,59000000,Private Key Compromise
OpportyToken,01/21/2020,600000,ICO Scam
Argyle Coin,05/21/2019,30000000,ICO Scam
lv.finance,09/21/2020,,Fraud Rug Pull
Marlin Pond,12/21/2020,,Fraud Rug Pull
Turtledex Token,03/22/2021,2500000,Fraud Rug Pull
Titanium BAR,05/22/2018,21000000,ICO Scam
Pro Coin,05/22/2019,26500000,ICO Scam
Futurebase,12/22/2020,35560,Fraud Rug Pull
gif.market,03/23/2021,134000,Fraud Rug Pull
Dropil,04/23/2020,1800000,ICO Scam
Fantasy Market Token,09/23/2019,63000,ICO Scam
